"","fullperiod","counttime","date"
"260",260,1822,2012-09-17 01:00:00
"261",261,2175,2012-09-18 01:00:00
"262",262,1755,2012-09-19 01:00:00
"263",263,1632,2012-09-20 01:00:00
"264",264,1517,2012-09-21 01:00:00
"265",265,998,2012-09-22 01:00:00
"266",266,1231,2012-09-23 01:00:00
"267",267,1215,2012-09-24 01:00:00
"268",268,1711,2012-09-25 01:00:00
"269",269,1307,2012-09-26 01:00:00
"270",270,1401,2012-09-27 01:00:00
"271",271,1173,2012-09-28 01:00:00
"272",272,1021,2012-09-29 01:00:00
"273",273,919,2012-09-30 01:00:00
"274",274,1081,2012-10-01 01:00:00
"275",275,1664,2012-10-02 01:00:00
"276",276,6199,2012-10-03 01:00:00
"277",277,2121,2012-10-04 01:00:00
"278",278,1356,2012-10-05 01:00:00
"279",279,917,2012-10-06 01:00:00
"280",280,1039,2012-10-07 01:00:00
"281",281,1614,2012-10-08 01:00:00
"282",282,1585,2012-10-09 01:00:00
"283",283,1636,2012-10-10 01:00:00
"284",284,3051,2012-10-11 01:00:00
"285",285,1378,2012-10-12 01:00:00
"286",286,1027,2012-10-13 01:00:00
"287",287,1142,2012-10-14 01:00:00
"288",288,1449,2012-10-15 01:00:00
"289",289,7632,2012-10-16 01:00:00
"290",290,2650,2012-10-17 01:00:00
"291",291,2250,2012-10-18 01:00:00
"292",292,1424,2012-10-19 01:00:00
"293",293,1284,2012-10-20 01:00:00
"294",294,1489,2012-10-21 01:00:00
"295",295,7621,2012-10-22 01:00:00
"296",296,2277,2012-10-23 01:00:00
"297",297,2220,2012-10-24 01:00:00
"298",298,2240,2012-10-25 01:00:00
"299",299,2510,2012-10-26 01:00:00
"300",300,1857,2012-10-27 01:00:00
"301",301,2014,2012-10-28 01:00:00
"302",302,1779,2012-10-29 01:00:00
"303",303,1791,2012-10-30 01:00:00
"304",304,1954,2012-10-31 01:00:00
"305",305,2047,2012-11-01 01:00:00
"306",306,2731,2012-11-02 01:00:00
"307",307,2406,2012-11-03 01:00:00
"308",308,2713,2012-11-04 01:00:00
"309",309,2273,2012-11-05 00:00:00
"310",310,0,2012-11-06 00:00:00
"311",311,0,2012-11-07 00:00:00
"312",312,0,2012-11-08 00:00:00
"313",313,0,2012-11-09 00:00:00
"314",314,0,2012-11-10 00:00:00
"315",315,0,2012-11-11 00:00:00
"316",316,0,2012-11-12 00:00:00
"317",317,0,2012-11-13 00:00:00
"318",318,0,2012-11-14 00:00:00
"319",319,0,2012-11-15 00:00:00
"320",320,0,2012-11-16 00:00:00
"321",321,0,2012-11-17 00:00:00
"322",322,0,2012-11-18 00:00:00
"323",323,0,2012-11-19 00:00:00
"324",324,0,2012-11-20 00:00:00
"325",325,0,2012-11-21 00:00:00
"326",326,0,2012-11-22 00:00:00
"327",327,0,2012-11-23 00:00:00
"328",328,0,2012-11-24 00:00:00
"329",329,0,2012-11-25 00:00:00
"330",330,0,2012-11-26 00:00:00
"331",331,0,2012-11-27 00:00:00
"332",332,0,2012-11-28 00:00:00
"333",333,0,2012-11-29 00:00:00
"334",334,0,2012-11-30 00:00:00
"335",335,0,2012-12-01 00:00:00
"336",336,0,2012-12-02 00:00:00
"337",337,0,2012-12-03 00:00:00
"338",338,0,2012-12-04 00:00:00
"339",339,0,2012-12-05 00:00:00
"340",340,0,2012-12-06 00:00:00
"341",341,0,2012-12-07 00:00:00
"342",342,0,2012-12-08 00:00:00
"343",343,0,2012-12-09 00:00:00
"344",344,0,2012-12-10 00:00:00
"345",345,0,2012-12-11 00:00:00
"346",346,0,2012-12-12 00:00:00
"347",347,0,2012-12-13 00:00:00
"348",348,0,2012-12-14 00:00:00
"349",349,0,2012-12-15 00:00:00
"350",350,0,2012-12-16 00:00:00
"351",351,0,2012-12-17 00:00:00
"352",352,0,2012-12-18 00:00:00
"353",353,0,2012-12-19 00:00:00
"354",354,0,2012-12-20 00:00:00
"355",355,0,2012-12-21 00:00:00
"356",356,0,2012-12-22 00:00:00
"357",357,0,2012-12-23 00:00:00
"358",358,0,2012-12-24 00:00:00
"359",359,0,2012-12-25 00:00:00
"360",360,0,2012-12-26 00:00:00
"361",361,0,2012-12-27 00:00:00
"362",362,0,2012-12-28 00:00:00
"363",363,0,2012-12-29 00:00:00
"364",364,0,2012-12-30 00:00:00
"365",365,0,2012-12-31 00:00:00
